Headline,Link,Content,Img
"59 killed, 150 injured after Halloween stampede in South Korea: Report",https://www.hindustantimes.com//world-news/nine-dead-after-halloween-stampede-in-south-korea-report-101667063945109.html,"Choi Cheon-sik, an official from the National Fire Agency, said at least 60 more people were being treated for injuries at hospitals and that the death toll could grow following the stampede in the leisure district of Itaewon Saturday night.Subscribe Now! Get features likeAt least 59 people were killed and 150 more were injured after being crushed by a large crowd pushing forward on a narrow street during Halloween festivities in the capital Seoul, South Korean officials said.Choi Seong-beom, chief of Seoul’s Yongsan fire department, said the death toll could grow as emergency workers were continuing to transport the injured to hospitals across Seoul following the stampede in the leisure district of Itaewon Saturday night.Choi said 13 of the dead have been sent to hospitals while the bodies of the remaining 46 were still on the streets.Officials say it was believed that people were crushed to death after a large crowd began pushing forward in a narrow alley near Hamilton Hotel, a major party spot in Seoul.Personalise your news feed. Follow trending topics",https://images.hindustantimes.com/img/2022/10/29/550x309/SOUTHKOREA-STAMPEDE--13_1667064170809_1667064170809_1667064193231_1667064193231.JPG
"Cop, engineer among 3 dead after landslides hit power project in J&K's Kishtwar",https://www.hindustantimes.com//india-news/cop-engineer-among-3-dead-after-landslides-hit-power-project-in-j-k-s-kishtwar-101667061361717.html,"Kishtwar: A rescue team was rushed to the site after the first landslide, but another one happened that trapped the rescuers, an officer said.Subscribe Now! Get features likeAt least three persons, including a JCB driver and a policeman, died and 15 others were injured after two landslides hit an under-construction road in quick succession at Rattle power project in Kishtwar district of Jammu & Kashmir on Saturday evening.Kishtwar SSP Shafqat Bhat said, ""JCB driver Manoj Kumar's body has been retrieved while we see two more bodies of engineer Sachin and a policeman Yaqoob. We have rescued another man, Ravi Roy, from the debris. Ten to 15 others sustained minor injuries in the two landslides.""“Rescue operation is underway,” Bhat said from the spot.“A landslide hit the under construction road of Rattle power project site in Kishtwar in which several workers, including a JCB driver, got trapped under the debris,” said another police officer.A rescue team was rushed to the site, but another landslide hit the area that trapped the rescuers, he added.In the first landslide, Kumar along with three others got trapped in the debris and when some people rushed to help them, they were hit by another landslide trapping all of them.A police officer from the Kishtwar control room said the two landslides occurred at the project where a road was being constructed as part of the power project.Union Minister Jitendra Singh took to Twitter to share update on the landslides.“Spoke to DC Kishtwar, J&K on receiving report of a fatal landslide at the site of under-construction Ratle Power Project. JCB driver unfortunately died. Rescue team of about 6 persons, deputed to site after the incident, has also got trapped under the debris,"" he wrote.""All efforts are being made to retrieve and save the trapped persons. Further assistance, as required, being provided. I am in constant touch with the District administration, "" he added.Another official said five injured persons, including a sub-inspector, have been shifted to Doda government medical college and sub district hospital at Thathri.The official denied reports of aa tunnel collapse inside the power project.Personalise your news feed. Follow trending topics",https://images.hindustantimes.com/img/2022/10/29/550x309/WhatsApp_Image_2022-10-29_at_223636_1667063509743_1667063509901_1667063509901.jpeg
"Punjab: Pak drone spotted close to border, returns after troops open fire",https://www.hindustantimes.com//cities/chandigarh-news/punjab-pak-drone-spotted-close-to-border-returns-after-troops-open-fire-101667064331442.html,"A drone from Pakistan was spotted close to border on Saturday. The unmanned aerial vehicle (UAV) flew back to Pakistan after the Border Security Force troops fired 18 rounds at it.Subscribe Now! Get features likeA drone from Pakistan was spotted close to the international border here, said officials on Saturday. The unmanned aerial vehicle flew back to Pakistan after the Border Security Force troops fired at it, they said. The BSF personnel fired at least 18 rounds towards the drone, they said. A search operation is underway, they said. On the night of October 27, the BSF had recovered a huge cache of firearms and ammunition in the Ferozepur sector. The BSF troops had recovered a bag along the Indo-Pakistan border and had found six AK-47 assault rifles, three pistols and 200 live rounds from it.Personalise your news feed. Follow trending topics",https://images.hindustantimes.com/img/2022/10/29/550x309/b199cca0-4d7e-11ed-930e-2f50bd8faadf_1667064329859.jpg
"FIR against The Wire, its editors on complaint by BJP's Amit Malviya",https://www.hindustantimes.com//cities/delhi-news/delhi-police-files-fir-against-the-wire-its-editors-on-complaint-by-amit-malviya-101667053680139.html,"The Wire, its founder Siddharth Varadarajan, its founder editors Sidharth Bhatia and MK Venu and its deputy editor and executive news producer Jahnavi Sen have been named in the FIR.Subscribe Now! Get features likeThe Delhi Police on Saturday registered an FIR against 'The Wire' after BJP's IT-cell head Amit Malviya registered a complaint alleging that the media company “forged documents with a view to malign and tarnish"" his reputation.The Wire, its founder Siddharth Varadarajan, its founder editors Sidharth Bhatia and MK Venu and its deputy editor and executive news producer Jahnavi Sen have been named in the FIR which has been registered under Sections 420, 468, 469, 471, 500 r/w 120B and 34 IPC, news agency ANI reported.The matter pertains to Meta stories which were ""retracted"" by the news website. It retracted the stories after Meta and various other experts pointed out critical flaws in their reporting.Malviya has alleged that on October 6, 2022, The Wire had published a report claiming that Meta (the parent company that owns Facebook and Instagram) had removed an Instagram post within a few minutes of it being uploaded by a private account namely ""Cringearchivist"". The report claimed that the company regularly colludes with members of the BJP in removing content deemed unfavourable to the party.He further alleged that on October 10 the news portal went on to claim that “I was the nodal point, interfacing between the party and Meta, for said censorship activity, having been bestowed certain 'XCheck' and other privileges by the company”.""As per the report, this status had bestowed on me the following powers overriding any filters, algorithms, vetting, verification or any other checks and balances within the company,"" Malviya said in a statement.The BJP leader also alleged that the report went on to cite alleged internal correspondence of Meta to justify its claims, alleging had used said privileges to take down a total of 705 posts to date.""On October 11, 2022, Meta's Communication Head, Andy Stone, issued a categorical denial and stated that the documents presented by 'The Wire' in its report were fabricated' and that the ‘Xcheck’ status had been mischaracterized. Once Meta issued this statement, 'The Wire' should have at the very least paused its coverage of this issue and commenced an internal audit. Instead, on the same day, it went on to publish yet another malicious report claiming to have accessed further internal emails of Meta employees, namely those exchanged between Andy Stone and his team, purportedly trying to effect a coverup,"" he said.He stated that The Wire publicly apologised to its readers on October 27 and retracted the stories about ""XCheck"" and Meta after scathing public scrutiny and the exposure of significant fabrication of dates, times and content in its alleged ""proof"".""However, even while retracting the story, The Wire' refrained from apologising to me, despite maligning and tarnishing my reputation and causing serious harm to my professional career. My role requires me to vociferously advocate the BJP's point of view on national issues, across platforms,"" he said.""This role is based on trust and camaraderie, between me and my interlocutors across platforms and more importantly with the public. However, The Wire's stories have vitiated the atmosphere and severely dented relationships and trust built over the years for me to carry out the functions of my responsibility,"" the BJP leader added.Stating that The Wire and some unknown persons entered into a ""criminal conspiracy"" with the intent to ""malign and tarnish"" his reputation, he said that the news portal ""deliberately"" inserted his name into a story, and ""fabricated"" evidence to ""implicate"" him.""Consequently, I am left with no option other than to seek appropriate legal remedies against The Wire and its management/reporters. As mentioned yesterday, will lodge an FIR with the concerned police station under sections that deal with forgery, forgery for the purposes of cheating, forgery to harm reputation, defamation, cheating and criminal conspiracy among others. Additionally, I will also initiate appropriate civil action for damages against The Wire and its associates,"" Malviya added.Last week, The Wire formally retracted its Meta stories “after conducting an internal review of the technical source material used, with the help of external experts”.Meta is the parent firm of Instagram, WhatsApp and Facebook.The Wire said it is also conducting a comprehensive editorial review of the internal editorial processes ""which resulted in the publication of these stories in order to identify and plug any and all shortcomings"".(With inputs from agencies)Have 11 years' experience in print and digital media. Write on politics, defence and world affairs, and have a keen eye for human-interest stories.
...view detailPersonalise your news feed. Follow trending topics",https://images.hindustantimes.com/img/2022/10/29/550x309/amit_malviya_the_wire_1667055109139_1667055117475_1667055117475.jfif
Russia suspends participation in Ukraine grain deal,https://www.hindustantimes.com//world-news/russia-suspends-participation-in-ukraine-grain-deal-101667062114732.html,"Russia made the announcement after its army accused Kyiv earlier Saturday of a ""massive"" drone attack on its Black Sea fleet, which Ukraine labelled a ""false pretext"" and the UN urged the deal's preservation.Subscribe Now! Get features likeRussia on Saturday suspended its participation in a landmark agreement that allowed vital grain exports from Ukraine, blaming drone attacks on Russian ships in Crimea.Russia made the announcement after its army accused Kyiv earlier Saturday of a ""massive"" drone attack on its Black Sea fleet, which Ukraine labelled a ""false pretext"" and the UN urged the deal's preservation.The Turkey and UN-brokered deal to unlock grain exports signed between Russia and Ukraine in July is critical to easing the global food crisis caused by the conflict.The agreement already allowed more than nine million tonnes of Ukrainian grain to be exported and was due to be renewed on November 19.A Turkish security source told AFP that Ankara had not been ""officially notified"" of Russia's suspension, while Ukraine and the UN pushed for the agreement to remain in force.""I call on all states to demand that Russia stop its hunger games and recommit to fulfilling its obligations,"" Ukrainian Foreign Minister Dmytro Kuleba said on Twitter.Stephane Dujarric, spokesman for the UN secretary-general, said: ""It is vital that all parties refrain from any action that would imperil the Black Sea Grain Initiative which is a critical humanitarian effort.""- 'Peddling false claims' -Sevastopol in Moscow-annexed Crimea has been targeted several times in recent months and serves as the headquarters for the Black Sea fleet and a logistical hub for operations in Ukraine.The Russian army claimed to have ""destroyed"" nine aerial drones and seven maritime ones, in an attack in the port early Saturday.""In light of the terrorist act carried out by the Kyiv regime with the participation of British experts against ships of the Black Sea fleet and civilian vessels involved in the security of grain corridors, Russia suspends its participation in the implementation of the agreement on the export of agricultural products from Ukrainian ports,"" the Russian defence ministry said on Telegram.Moscow's forces alleged British ""specialists"", whom they said were based in the southern Ukrainian city of Ochakiv, had helped prepare and train Kyiv to carry out the strike.In a further singling out of the UK -- which Moscow sees as one of the most unfriendly Western countries -- Russia said the same British unit was involved in explosions on the Nord Stream gas pipelines last month.Britain strongly rebutted both claims, saying ""the Russian Ministry of Defence is resorting to peddling false claims of an epic scale.""Russia's foreign ministry spokeswoman Maria Zakharova said Saturday Moscow would raise the blasts and the alleged drone attack at the UN Security Council.The British defence ministry said this ""invented story says more about arguments going on inside the Russian Government than it does about the West"".Moscow's military said ships targeted at their Crimean base were involved in the grain deal.Russia had recently criticised the deal, saying its own grain exports have suffered due to Western sanctions.- 'Massive' attack -Mikhail Razvozhayev, the Moscow-installed governor of Sevastopol, said Saturday's drone attack was the ""most massive"" the peninsula had seen.The city's services were on ""alert"", but he claimed no ""civilian infrastructure"" had been damaged.City authorities said the harbour was ""temporarily"" closed to boats and ferries and urged people ""not to panic"".Attacks on Crimea, annexed by Moscow in 2014, have increased in recent weeks, as Kyiv presses a counter-offensive in the south to retake territory held by Moscow for months.Moscow-installed authorities in Kherson, just north of Crimea, have vowed to turn the city into a fortress, preparing for an inevitable assault.On Thursday, Razvozhayev said a thermal power station had been attacked in Balaklava, in the Sevastopol area.He claimed there was only minor damage and no casualties.In early October, Moscow's bridge linking Crimea to the Russian mainland -- personally inaugurated by President Vladimir Putin in 2018 -- was damaged by a blast that Putin blamed on Ukraine.The Russian fleet stationed in the port had also been attacked by a drone in August.Russia's allegations Saturday came as the Ukrainian army reported fighting in the Lugansk and Donetsk regions in the east, including near Bakhmut -- the only area where Moscow's forces have advanced in recent weeks.Pro-Russian separatists fighting alongside Moscow also announced a new prisoner exchange with Kyiv, saying 50 will return home from each side.Both sides were gearing up for the battle for the city of Kherson, the regional capital that fell to Moscow's forces in the first days of their offensive.Personalise your news feed. Follow trending topics",https://images.hindustantimes.com/img/2022/10/29/550x309/ap22302448221443_custom-adb704090023d77b80a9c168752ad323fc1bfa65-s800-c85_1667062280504_1667062293577_1667062293577.webp
'Batsmen ke balley gaayab kar lein?': Ex-Pakistan captain furious with Babar,https://www.hindustantimes.com//cricket/kya-karein-bowlers-batsmen-ke-balley-gaayab-kar-lein-ex-pakistan-captain-salman-butt-furious-at-babar-azam-s-foolish-statement-101667053476093.html,"The former Pakistan skipper didn't mince his words as he talked about Babar Azam's comment in the post-match presentation following the loss to Zimbabwe at the T20 World Cup.Subscribe Now! Get features likeSince Pakistan faced a shock defeat to Zimbabwe in the T20 World Cup on Thursday, the fans and former cricketers have been immensely critical of the side. The Babar Azam-led side had already lost against India in its opening game of the World Cup, and failed to chase down a 130-run target against Zimbabwe in its second match of the tournament. Moreover, Babar Azam's statement in the post-match presentation didn't sit well with a number of former cricketers, including ex-captain Salman Butt.The former Pakistan skipper, in his YouTube video, lashed out at Babar after the captain seemingly indicated that Zimbabwe had scored 10 more runs than expected on the wicket.Also read: 'Ramiz Raja should resign immediately; Babar is top batter but what's his contribution?': Ex-PAK cricketer's fiery rantReacting to the comment, Butt said, “Kal se, I haven't thought beyond the statement jo hamaare kaptaan ne, hamaare best player ne, duniya ke top player ne baat ki thi, ki 10 run zyada the. Yaar 130 me bhi 10 zyada the? Ye kya statement hai? 130 bhi bada lag raha hai score? (I couldn't move on from the statement from our captain, our best player yesterday. He said that they scored 10 runs more. Are you saying that even in 130 runs, they scored 10 extra? What was this statement?),” Butt asked furiously.In fact, Butt didn't even mince his words on his video caption. As the session also included Pakistan pacer Wahab Riaz, the video was titled, “Salman and Wahab on Babar's ‘Foolish’ Statement | Zimbabwe Loss.”Butt went on to take a dig at Babar over the statement. “Kya kare bowler? Doosri team ke balley gaayab kar lein? Kya karein? Kaise zyada tha score. Ye baat unhone presentation me kahi hai. (What can the bowler do? Do they start hiding opposition players' bats? How was this score big? He said this in presentation!),” Butt further stated.The opening duo of Babar (4) and Mohammad Rizwan (14) had failed to step up in the run-chase against Zimbabwe and no batter barring Shan Masood (44) could make a mark, as Pakistan fell short by a run. The loss – again – exposed Pakistan's middle-order weakness, that has been one of the primary concerns among many of the side's former cricketers in the lead-up to the tournament.Pakistan will return to action on Sunday later this week when the side takes on Netherlands in Perth.At HT Sports Desk, passionate reporters work round the clock to provide detailed updates from the world of sports. Expect nuanced match reports, previews,reviews, technical analysis based on statistics, the latest social media trends, expert opinions on cricket, football, tennis, badminton, hockey,motorsports, wrestling, boxing, shooting, athletics and much more.
...view detailPersonalise your news feed. Follow trending topics",https://images.hindustantimes.com/img/2022/10/29/550x309/Emirates-Asia-Cup-Cricket-83_1667055230351_1667055230351_1667055259856_1667055259856.jpg
Kangana Ranaut breaks silence on Dhaakad's failure: ‘Meri bhi nai chali',https://www.hindustantimes.com//entertainment/bollywood/kangana-ranaut-breaks-silence-on-dhaakad-s-failure-meri-bhi-nai-chali-101667059332157.html,"Kangana has talked about her film, Dhaakad's failure at box office for the first time. She accepted how her westernised character failed to impress Indians.Subscribe Now! Get features likeKangana Ranaut finally admitted the failurof her action-flick Dhaakad at an event. She spoke about how it has helped help to understand the audience’s mindset who failed to identify with the ‘westernised concept’ of the film. She feels it’s a sign that people are becoming aware of their Indian roots. Also read: Kangana Ranaut promises ‘masala’ if she returns to TwitterDirected by Razneesh Ghai, Dhaakad released on May 20. The film opened up to a poor start at the ticket window with less than ₹1 crore on its first day. According to PTI’s trade sources, the film was taken down by distributors due to ""extremely low audience turnout"".After Kangana was spotted defending her film on her Instagram Stories multiple times, this is the first time she broke her silence about the film’s poor performance. When asked about her thoughts on Bollywood films not working at the box office, compared with films from the South film industry, Kangana told Aaj Tak, “There are various kinds of analysis about films’ performance. If you look at hit films, all of them have Indian roots. Look at Kantara. These films show India on a micro level, based on devotion and spirituality. Ponniyin Selvan-1 is also about Cholas.”“Bollywood has gone far away from its Indian culture and they have westernised films. With the trend to make westernised films, I think people are unable to relate themselves to the film. Meri bhi iss saal ek film nahin chali hain. Usse bhi mujhe yehi seekh mili ki sayad bohot hi westernised character tha jisse log identify nahin kar payein (Even one of my films didn’t work this year I have learned that may be my character was too westernised, which Indian couldn’t identify),” the actor also reasoned.She feels there’s a sudden sense of pride among the Indian audience, and they are rooting for those who are connecting them to it only. She cited examples of films like RRR and Thalaivii as successful pan-India films. Kangana is currently working on her upcoming film Emergency.Dedicated professionals who write about cinema and television in all their vibrancy. Expect views, reviews and news.
...view detailPersonalise your news feed. Follow trending topics",https://images.hindustantimes.com/img/2022/10/29/550x309/Kangana_Dhaakad_1653037079620_1667059571908_1667059571908.jpeg
"Twitter users could pick versions of social media platform they like, says Musk",https://www.hindustantimes.com//technology/elon-musk-news-twitter-elong-musk-twitter-users-could-pick-versions-of-social-media-platform-they-like-says-elon-musk-101667052717570.html,"This comes a day after the world's richest man announced that the microblogging site will form a content moderation council, and that no major content decisions will take place before the panel convenes.Subscribe Now! Get features likeNow, Twitter users could pick a version of the microblogging site they like by providing ratings on the tweets, new owner Elon Musk tweeted on Saturday.""Being able to select which version of Twitter you want is probably better, much as it would be for a movie maturity rating,"" he said.""The rating of the tweet itself could be self-selected, then modified by user feedback,"" he added.This comes a day after the world's richest man announced that the microblogging site will form a content moderation council, and that no major content decisions will take place before the panel convenes.On Thursday, Musk completed months-long $44 billion acquisition of Twitter triggering fresh drama by firing top executives including CEO Parag Agarwal, Chief Financial Officer Ned Segal and legal affairs and policy chief Vijaya Gadde.Good point. Being able to select which version of Twitter you want is probably better, much as it would be for a movie maturity rating. The rating of the tweet itself could be self-selected, then modified by user feedback.According to several reports, Agarwal and Segal were at the Twitter headquarters when Musk closed the deal and were escorted out.""The bird is freed,"" he tweeted after he completed his $44 billion acquisition on Thursday, referencing Twitter's bird logo in an apparent nod to his desire to see the company have fewer limits on content that can be posted.Musk has been a vocal critic of Twitter, whom it had accused of hiding information about spam accounts. The Tesla CEO also said he wanted to prevent it from becoming an echo chamber for hate and division.According to a Reuters report, Musk said he did not buy Twitter to earn more money but ‘to try to help humanity’ whom he loved. His plans to cut jobs have left the social media giant's 7,500 employees worried about their future.Less that 10% of 266 Twitter employees who participated in a poll on messaging app Blind expected to still have their jobs in three months. Blind allows employees to air grievances anonymously after they sign up with corporate emails, Reuters reported.(With Reuters inputs)Follow the latest breaking news and developments from India and around the world with Hindustan Times' newsdesk. From politics and policies to the economy and the environment, from local issues to national events and global affairs, we've got you covered.
...view detailPersonalise your news feed. Follow trending topics",https://images.hindustantimes.com/img/2022/10/29/550x309/Elon_Musk_1667052728991_1667052729155_1667052729155.jpg
"Fans spot mosquito bats in Rajinikanth’s home, gold chain gift for Rishab Shetty",https://www.hindustantimes.com//entertainment/telugu-cinema/fans-spot-mosquito-bats-in-rajinikanth-s-home-gold-chain-gift-for-rishab-shetty-101667061536488.html,"Twitter has found mosquito bats inside Rajinikanth's house in Chennai and shared their hilarious reactions to them. The veteran actor recently met Rishab Shetty.Subscribe Now! Get features likeRajinikanth fans are amazed after spotting a mosquito bat at Thalaiva’s house. Recently Kantara fame actor-and-director Rishab Shetty paid a visit to Rajinikanth and posted pictures from their private meeting. Many also pointed out that the veteran actor gifted Rishab a gold chain, days after praising his film on Twitter. Also read: Rajinikanth calls Kantara a 'masterpiece'In the picture, Rishab and Rajinikanth are seen talking at the latter’s house. In one of them, Rishab took Rajinikanth's blessings and touched his feet. However, what captured the fans’ attention most is a ‘middle-class’ mosquito bat, seen plugged in, on top of a side table. Another mosquito bat was also spotted under the centre table which left fans startled.ನೀವು ಒಂದ್ ಸಲ ಹೊಗಳಿದ್ರೆ.. ನೂರು ಸಲ ಹೊಗಳ್ದ೦ಗೆ ನಮಗೆ.❤️ಧನ್ಯವಾದಗಳು @rajinikanth sir ನಮ್ಮ ಕಾಂತಾರ ಚಿತ್ರ ನೋಡಿ ನೀವು ಮೆಚ್ಚಿದ್ದಕ್ಕೆ ನಾವು ಸದಾ ಆಭಾರಿ🙏🏼 #Kantara @VKiragandur @hombalefilms @gowda_sapthami @Karthik1423 pic.twitter.com/MNPSDR5jx8Reacting to it, a fan wrote, “Relieved to know even Rajini sir need mosquito bat. I thought (mosquitoes) do not dare to enter his home.” “Even #Rajinikanth uses a mosquito bat in his house, i thought it was restricted to middle class homes,” added another fan. Meanwhile, Someone also commented, “Anyone recognise that the Gold Chain in @shetty_rishab sir neck?? It may be gifted by @rajinikanth sir.. Chain seen missing before and appeared after honouring.” Rishab reacted to the tweet and confirmed that he did indeed got the chain as a gift.Tweeting the photos, Rishab wrote in Kannada, ""If you praise us once, we will praise you a hundred times (red heart emoji). Thank you @rajinikanth sir, we are always grateful for your appreciation of our Kantara film.""Previously, Rajinikanth was all praises for Rishab’s Kantara. Rajinikanth wrote in a tweet, ""'The unknown is more than the known' no one could have said this better in cinema than @hombalefilms #KantaraMovie you gave me goosebump @shetty_rishab Rishab hats off to you as a writer, director and actor. Congrats to the whole cast and crew of this masterpiece in Indian cinema."" Replying to it, Rishab said, ""Dear @rajinikanth sir you are biggest superstar in India and I have been your fan since childhood. Your appreciation is my dream come true. You inspire me to do more local stories and inspire our audiences everywhere. Thank you sir.""Dedicated professionals who write about cinema and television in all their vibrancy. Expect views, reviews and news.
...view detailPersonalise your news feed. Follow trending topics",https://images.hindustantimes.com/img/2022/10/29/550x309/rajinikanth_1667061796691_1667061796848_1667061796848.jpg
"‘Salman is protecting Sajid Khan’, says Sherlyn Chopra after police statement",https://www.hindustantimes.com//entertainment/bollywood/salman-is-protecting-sajid-khan-says-sherlyn-chopra-after-police-statement-101667052664588.html,"Sherlyn Chopra has claimed that Salman Khan is protecting Sajid Khan despite harassment allegations against the filmmaker. This is not the first time Sherlyn has accused Salman in the matter.Subscribe Now! Get features likeOn Saturday Sherlyn Chopra reached Mumbai’s Juhu police station to record her statement against filmmaker Sajid Khan. She addressed to media stationed outside the police station and alleged that she has been receiving no help from the cops. She also said that no one can touch Sajid Khan as Salman Khan helps him. Also read: Sherlyn Chopra, who accused Sajid Khan of harassment, questions Salman KhanIn a paparazzi video, Sherlyn said, “Sajid Khan ke sar par kisi aur nahin, Salman Khan sir ka hanth hain. Unke hontein, Sajid Khan ka koi baal tak baka nahin kar sakta hai (Sajid Khan is being protected by Salman Khan. No one can touch him).” She also claimed that she visited the police station after her calls went unanswered about her complain against Sajid. She also said that after she requested a female police officer to record her statement in the case, however, she feels helpless after not getting much help.“Maine Assistant police commissioner ko call kiya and bola ‘Juhu Police meri madad nahin kar rahi hain. Pata nahin kya majbori rahi hongi, upar se koi dabab ayaa hoga ki mera statement na liya jayein. Mai yehi soch rahi hu ki agar ek celebrity ke sath aisa ho sakata hain toh ek aam mahila ke sath kya kuch nahin hota hoga (I have informed Assistant police commissioner that Juhu Police isn't helping me I don't know why my statement is not being taken, there might be some kind of pressure against it I wonder what can happen to an ordinary woman if a celebrity is being treated in such a way) ,” Sherlyn added with teary-eyes. She asserted that she only demands unbiased judgement in the case.A post shared by Viral Bhayani (@viralbhayani)It all began in 2018 when Sajid Khan was mired in the #MeToo controversy after nine women from the acting industry, who have worked with him on different projects, accused him of sexually harassing them. Sherlyn was one of them with Saloni Chopra, Aahana Kumra and Mandana Karimi and others. Earlier, Sherlyn was spotted visiting the police station to file a police complaint against the filmmaker.Sajid is currently appearing as one of the participants in the Salman-Khan-hosted reality show, Bigg Boss 16. It’s his first appearance after he stepped down from his directorial duties for Houseful 4 following the allegations.(With inputs from ANI)Dedicated professionals who write about cinema and television in all their vibrancy. Expect views, reviews and news.
...view detailPersonalise your news feed. Follow trending topics",https://images.hindustantimes.com/img/2022/10/29/550x309/sherlyn_1667053204949_1667053205102_1667053205102.jpg
